UFNOME DO ESTADO     OBS
ACACRE               OBSERVACAO
AMAMAZONAS           OBSERVACAO
APAMAPA              OBSERVACAO
BHBAHIA              OBSERVACAO
CECEARA              OBSERVACAO
DFDISTRITO FEDERAL   OBSERVACAO
ESESPIRITO SANTO     OBSERVACAO
GOGOIAS              OBSERVACAO
MGMINAS GERAIS       OBSERVACAO
MSMATO GROSSO DO SUL OBSERVACAO
MTMATO GROSSO        OBSERVACAO
PAPARA               OBSERVACAO
PRPARANA             OBSERVACAO
PBPARAIBA            OBSERVACAO
PIPIAUI              OBSERVACAO
RORORAIMA            OBSERVACAO
RRRONDONIA           OBSERVACAO
RJRIO DE JANEIRO     OBSERVACAO
RNRIO GRANDE DO NORTEOBSERVACAO
RSRIO GRANDE DO SUL  OBSERVACAO
SCSANTA CATARINA     OBSERVACAO
SESERGIPE            OBSERVACAO
TOTOCANTINS          OBSERVACAO
